No,Layer,Name,Address,Description

01,Walk from OMO7 / station,01 Santouka,"348-6 1-jo-dori 8-chome, Asahikawa, Hokkaido 070-0031, Japan (北海道旭川市1条通8丁目348番地6 MANNY BLD 1F)",OPEN MAP: https://maps.google.com/?q=43.7647514%2C142.3600012. Ramen honten. Queue. Walk-in. Closed Thu unless a holiday. 0166-25-3401. About 5 min from JR Asahikawa. Not the old Sasaki Bldg at 348-3.

02,Walk from OMO7 / station,02 Baikohken,"2-jo-dori 8-chome, Asahikawa, Hokkaido 070-0032, Japan (北海道旭川市2条通8丁目 買物公園ピアザビル B1)",OPEN MAP: https://maps.google.com/?q=43.7650476%2C142.3615878. Classic Asahikawa ramen. Piaza B1. Walk-in. About 3 min from JR Asahikawa. 0166-24-4575. Not another Baikohken branch.

03,Walk from OMO7 / station,03 Hachiya Gojo,"43.762456, 142.364512 (5-7 Alley Furari-to · Hachiya Gojo · 八谷五条)",OPEN MAP: https://maps.google.com/?q=43.762456%2C142.364512. Since 1947; roasted-lard aroma ramen locals chase. 5-7 Alley Furari-to. Walk-in. About 10 min from JR Asahikawa. Not Gin-neko shinkoyaki.

04,Walk from OMO7 / station,04 Ichikura,"43.765234, 142.362891 (Ichikura ramen · 一くら)",OPEN MAP: https://maps.google.com/?q=43.765234%2C142.362891. Late-night ramen; green-onion-heavy bowls. Walk-in. Confirm late hours before you go. No web seats. Station area.

05,Taxi · northeast,05 Ramen Village,"43.729845, 142.414567 (Asahikawa Ramen Village · 旭川ラーメン村 · Atsuta)",OPEN MAP: https://maps.google.com/?q=43.729845%2C142.414567. Group sampler — multiple famous shops in one place. No group booking; pick a shop and queue. Taxi / car ~15 min from JR Asahikawa — not the station stroll.

06,Walk from OMO7 / station,06 Daikokuya,"1425 4-jo-dori 5-chome, Asahikawa, Hokkaido 070-0034, Japan (北海道旭川市4条通5丁目1425番地 3・4仲通)",OPEN MAP: https://maps.google.com/?q=43.763433%2C142.363819. Lamb BBQ (Genghis Khan). Book. Toreta. Official walk ~11 min from JR Asahikawa. 0166-24-2424. Asahikawa shop — not Sapporo / Hakodate.

07,Walk from OMO7 / station,07 Taisetsu Ji-Beer Kan,"1604-1 Miyashita-dori 11-chome, Asahikawa, Hokkaido 070-0030, Japan (北海道旭川市宮下通11丁目1604番地の1 蔵囲夢)",OPEN MAP: https://maps.google.com/?q=43.765867%2C142.358119. Lamb + beer in the registered warehouse. Hot Pepper / official form. Closed Sun. 0166-25-0400. About 5–6 min from JR Asahikawa east. Not the Harete yatai-mura bar at 5-jo 9-chome.

08,Walk from OMO7 / station,08 Hitsujiya,"43.764725, 142.362891 (Hitsujiya · ひつじ屋)",OPEN MAP: https://maps.google.com/?q=43.764725%2C142.362891. Lamb BBQ (Genghis Khan); friendly service; easier for first-timers. Recommended winter; walk-in queue peak summer. Hot Pepper Nov–May ski season. 0166-25-2550. Station area — not Daikokuya.

09,Taxi · Kyokushin,09 Sushi Triton (Kyokushin),"1 Kyokushin 3-jo 5-chome, Asahikawa, Hokkaido 078-8373, Japan (北海道旭川市旭神3条5丁目1)",OPEN MAP: https://maps.google.com/?q=43.728592%2C142.348011. Conveyor sushi for groups. Walk-in only — no seats booked. Official: ~10 min by car from JR Asahikawa. 0166-60-7711. Not a station-walk pin. Not Konishi.

10,Taxi · east,10 Mitsumoto,"43.755089, 142.378614 (Sushi-dokoro Mitsumoto · 鮨処みつもと)",OPEN MAP: https://maps.google.com/?q=43.755089%2C142.378614. Seafood-bowl / chirashi lunch; calm local room. Phone safest peak weekends — 0166-33-6677. Taxi / car ~10 min east of JR Asahikawa — not the OMO7 stroll. Not Konishi dinner sushi.

