No,Layer,Name,Address,Description
01,Walk from Happo BT,01 Sushi Sakai,"5090-1 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan (THE HAPPO)",Omakase inside THE HAPPO. 10 seats. 18:00 or 20:00. No under 12. TableCheck. About 3 min walk.
02,Walk from Happo BT,02 HAKUBAR,"5078 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Bar / light food. Own banchi — not THE HAPPO (5090-1). Walk-in. Confirm the shop sign before saving the Place.
03,Walk from Happo BT,03 Ohyokkuri,"5081 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Izakaya — hot-pot / dumplings. About 5 min from Happo BT. No reservation needed. 0261-72-2661. Walk-in.
04,Walk from Happo BT,04 Uncle Steven's,"5148 Happo Gondola-dori, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Tex-Mex. About 5 min from Happo BT. Phone 0261-72-7569. No email bookings.
05,Walk from Happo BT,05 Hakuba Taproom,"3322-1 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan (Hakuba Panorama Hotel)",Burgers and beer. Inside Hakuba Panorama Hotel. TableCheck. 0261-75-0075. About 5 min walk.
06,Walk from Happo BT,06 Koiya,"4093-2 Happo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Eel / river fish. Not Echoland KoiKoi (15). About 7 min from Happo BT. Mon/Tue/Fri/Sat/Sun 11:00–13:00 and 17:30–19:00. Closed Wed/Thu. No table bookings. HAPPO desk can call. Google lists 八方4093-2 — not 4093-2 Hokujo.
07,Walk from Happo BT,07 Yohei Club,"5057 Happo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Standing bar (与兵衛倶楽部 / 与兵衛クラブ). Walk-in. Happo core, about 7 min. Not 5069 / Taigakukan 5094.
08,Walk from Happo BT,08 Olion Sushi,"4313-1 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan (Mountain Side 1F)",Après sushi near Kokusai lift. Walk-in. About 10 min.
09,Walk from Happo BT,09 Zen Soba,"3020-49 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Scratch soba. Not Ringoya (10). Not Riki (29). Not Yamashina (28). Sun/Mon/Thu/Fri/Sat 11:00–14:00 and 17:30–20:00. Closed Tue/Wed. Walk-in. 0261-72-3637. About 10 min.
10,Walk from Happo BT,10 Ringoya,"5289 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Scratch soba. Lunch only 11:30–14:00 (L.O. 13:30); may close when sold out. Official: about 3 min from Happo BT. Not Zen Soba. Not Riki. Not Yamashina. 0261-71-1566. Bookings not always accepted. https://sobakoboringoya.com/
11,Echoland (Line VN),11 Izakaya Hie,"3020-868 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Loud Echoland night. 2-hour seat. No 7+. No children. ¥4,000 no-show. TableCheck. Do not walk from Happo — Line VN.
12,Echoland (Line VN),12 The Rabbit Hole,"4777 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Burgers / après. TableCheck. Do not walk from Happo — Line VN.
13,Echoland (Line VN),13 Aguraya,"3020-694 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Oden / ramen. Dashi-wari. Closed Thu. Walk-in. Same banchi as the old Jingisukan Miyama — that shop moved to Matsumoto. Do not keep a jingisukan pin here.
14,Echoland (Line VN),14 Hige Cafe,"3020-957 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Winter: kushi-katsu izakaya. 0261-85-0499. Same banchi as KoiKoi (15). Confirm the orange entrance.
15,Echoland (Line VN),15 Izakaya KoiKoi,"3020-957 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Izakaya. Not Koiya (06) — that is eel on the Happo walk. No TableCheck. Instagram / walk-in. Same banchi as Hige Cafe — save a separate Place.
16,Echoland (Line VN),16 koubo-nikki,"3020-142 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Sourdough takeout. Daytime only — not the Hie night. Listed 9:30–16:00; often sold out before 16:00. Closed Wed. 0261-72-4342. Not TABITABI (27) at 3020-1406. Confirm the shop sign before saving the Place.
17,Taxi,17 Wagyu Samurai,"5276 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Yakiniku. About 105 m from JR Hakuba Station. TableCheck. 080-9649-7950. Taxi — not Happo BT.
18,Taxi,18 Kikyo-ya,"1909-4 Hakuba-machi, Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Sushi at JR Hakuba Station. Not Happo BT. 0261-72-3633. Book in winter.
19,Taxi,19 Miyama,"5612-3 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Yakiniku on the station road. 2-hour seats. Not the old Echoland Jingisukan Miyama (moved to Matsumoto). 0261-72-6309. Taxi.
20,Taxi,20 Raimuraito,"8574-1 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Teishoku / café. About 8 min from JR Hakuba. Walk-in. 0261-72-4785.
21,Taxi,21 Grill Koya,"5629-2 Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",Western / hamburger / omurice. Station–Happo road — not the Happo BT knot. Walk-in. 0261-72-5354.
