番号,レイヤー,施設名,住所,説明文
01,Walk from Happo BT,01 鮨酒井 / Sushi Sakai,長野県北安曇郡白馬村北城5090-1 THE HAPPO内,THE HAPPO内。10席。18:00 or 20:00。12歳未満不可。TableCheck。徒歩約3分。
02,Walk from Happo BT,02 白BAR / HAKUBAR,〒399-9301 長野県北安曇郡白馬村北城5078,バー／軽食。Walk-in。THE HAPPO（5090-1）本体のピンにしない。店の看板でPlaceを確認。
03,Walk from Happo BT,03 おひょっくり 八方本店,〒399-9301 長野県北安曇郡白馬村北城5081,八方BT徒歩約5分。鍋・餃子。予約不要。0261-72-2661。Walk-in。
04,Walk from Happo BT,04 Uncle Steven's,長野県北安曇郡白馬村八方ゴンドラ通り5148,八方BT徒歩約5分。Tex-Mex。電話予約 0261-72-7569。メール予約なし。
05,Walk from Happo BT,05 Hakuba Taproom,長野県北安曇郡白馬村北城3322-1 パノラマホテル内,バーガー・ビール。TableCheck。0261-75-0075。徒歩約5分。
06,Walk from Happo BT,06 こいや / 川魚料理 こいや,〒399-9301 長野県北安曇郡白馬村北城八方4093-2,エコーランドの「こいこい」ではない。うなぎ・川魚。八方BT徒歩約7分。月火金土日 11:00–13:00 / 17:30–19:00。水木定休。席予約なし。HAPPOデスク可。Googleは八方4093-2。北城4093-2だけだとピンが落ちることがある。
07,Walk from Happo BT,07 与兵衛倶楽部,〒399-9301 長野県北安曇郡白馬村八方5057,立ち飲み（与兵衛クラブ）。Walk-in。八方コア徒歩約7分。5069／対岳館5094ではない。
08,Walk from Happo BT,08 OLION SUSHI HAKUBA,長野県北安曇郡白馬村北城4313-1 Mountain Side 1F,国際リフト付近のアフター寿司。Walk-in。徒歩約10分。
09,Walk from Happo BT,09 蕎麦酒房 膳,〒399-9301 長野県北安曇郡白馬村北城3020-49,山品（大町）ではない。林檎舎でもない。手打ちそば。日・月・木・金・土 11:00–14:00 / 17:30–20:00。火水定休。Walk-in。0261-72-3637。徒歩約10分。
10,Walk from Happo BT,10 そば工房 林檎舎,〒399-9301 長野県北安曇郡白馬村北城5289,りんごや。八方BT徒歩約3分（公式）。手打ちそば。昼のみ 11:30–14:00（L.O. 13:30）、売り切れ次第終了。膳そば・山品ではない。0261-71-1566。予約できない期間あり。https://sobakoboringoya.com/
11,Echoland (Line VN),11 居酒屋 稗,長野県北安曇郡白馬村北城3020-868,エコーランドのloud night。2時間席。7+不可。子ども不可。無断キャンセル¥4,000。TableCheck。歩いて行かない。Line VN。
12,Echoland (Line VN),12 The Rabbit Hole Hakuba,長野県北安曇郡白馬村北城4777,バーガー／アフター。TableCheck。歩いて行かない。Line VN。
