No,Layer,Name,Address,Description
01,Nozawa Eat Map,01 Suminoya,"9285 Toyosato, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan (tanuki nozawa, opposite Ōyu)",Walk from Chuo / Ōyu. Yakiniku inside tanuki nozawa. Winter 17:00–22:00. Summer closed (Stay Nozawa). Phone 0269-85-3121. No TableCheck. Do not drop the pin on the hotel rooms — use the restaurant.
02,Nozawa Eat Map,02 Sobadokoro Daimon,"9509 Toyosato, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan (Ōyu side street)",Walk from Chuo / Ōyu. Soba / tempura. そば処 大茂ん — not 大門. Off Ōyu street. Walk-in. Phone 0269-85-2033. Cash often.
03,Nozawa Eat Map,03 Wakagiri,"9556 Toyosato, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan",Walk from Chuo / Ōyu. Broad menu (sushi / soba / ramen). Official: Ōyu street. Portal dinner 17:00–20:30. Phone 0269-85-2040. http://wakagiri.jp/
04,Nozawa Eat Map,04 Kongou Food Market,"4348-1 Toyosato Shinden, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan",Shinden (not the Ōyu stroll). 風土village金剛 / food court. Near Shinden bus terminal — not Ōyu street. Not 道の駅 野沢温泉 (虫生2375). Walk-in. The night the booking dies.
05,Nozawa Eat Map,05 Winterland Taproom,"9582-2 Yokochi, Toyosato, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan",Walk from Chuo / Ōyu. Gyoza + taps. Official: opposite Chuo BT. Groups book; small walk-in often works. 050-1722-2550. https://winterlandlodge.com/contact/
06,Nozawa Eat Map,06 Banri,"9579 Toyosato, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan",Walk from Chuo / Ōyu. 焼肉 萬里. Yakiniku / jingisukan. Village: 17:00 (winter 16:00)–22:30 last in 21:30. Green season closed Wed/Thu; winter irregular. Phone 0269-85-2290. TableCheck. Off Ōyu a little — not Suminoya.
07,Nozawa Eat Map,07 Tsukushinbo,"9347 Toyosato, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan (Tokiwaya B1, next to Ōyu)",Walk from Chuo / Ōyu. つくしんぼ. Izakaya in Tokiwaya basement. Portal 18:00–23:00. Phone 0269-85-3565 — not the inn 0269-85-3128. Book in ski season. Stairs down; do not pin the ryokan lobby.
08,Nozawa Eat Map,08 Yamabiko Rest House,"8366 Toyosato, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan (Nagasaka gondola Yamabiko station)",On-hill Nagasaka (not village dinner). Slope cafeteria. Official ski: 10:00–15:00 L.O. 14:30. 0269-85-3166. 2F above Kitchen SEAVUS. Daytime only — not a village dinner pin.
09,Nozawa Eat Map,09 Haus St. Anton,"9515 Toyosato, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan",Walk from Chuo / Ōyu. ハウスサンアントン ジャム工房. Jam / gelato / cafe on Ōyu street. Village: weekdays 9:30–18:30 · Sun 9:00–18:30. Closed Wed; no close in winter season. 0269-85-2065. http://st-anton.jp/ Daytime — not a dinner pin.
10,Nozawa Eat Map,10 Shohei Soba,"9525-1 Toyosato, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan",Walk from Chuo / Ōyu. 庄平そば. Official: 11:00–20:30 L.O. 20:00 until sold out. 0269-85-3287. http://shoheisoba.com/ Portal: upstairs Ikemoto building, above Sumo nabe. Not Daimon (02).
11,Nozawa Eat Map,11 Atarashiya,"8866 Toyosato, Nozawaonsen, Shimotakai District, Nagano 389-2502, Japan",Walk · Grand Hotel / Shin-yu. 新屋（あたらしや）. Eel / yakitori-don. Village: 11:00–13:30 and 16:00–17:30. Closed Thu. No reservations. 0269-85-2044. Near Grand Hotel / Shin-yu — not Ōyu core. Not the inn あたらしや at 6950.
