番号,レイヤー,施設名,住所,説明文
01,Nozawa Eat Map,01 炭乃家 / Suminoya,〒389-2502 長野県下高井郡野沢温泉村大字豊郷9285（狸 tanuki nozawa・大湯向かい）,Walk from Chuo / Ōyu. 焼肉。狸の館内。冬 17:00–22:00。夏休業（Stay Nozawa）。0269-85-3121。TableCheckなし。宿室のピンにしない。
02,Nozawa Eat Map,02 そば処 大茂ん,〒389-2502 長野県下高井郡野沢温泉村大字豊郷9509（大湯通りの小路）,Walk from Chuo / Ōyu. 天ぷらそば。大門ではない。Walk-in。0269-85-2033。現金が多い。
03,Nozawa Eat Map,03 若ぎり,〒389-2502 長野県下高井郡野沢温泉村大字豊郷9556,Walk from Chuo / Ōyu. 大湯通り。寿司・そば・ラーメン。ポータル夕食 17:00–20:30。0269-85-2040。http://wakagiri.jp/
04,Nozawa Eat Map,04 風土village金剛 / Kongou,〒389-2502 長野県下高井郡野沢温泉村大字豊郷新田4348-1,Shinden (not the Ōyu stroll). フードコート。新田BT側。大湯通りではない。道の駅（虫生2375）ではない。Walk-in。予約が死んだ夜。
05,Nozawa Eat Map,05 Winterland Taproom,〒389-2502 長野県下高井郡野沢温泉村横落9582-2,Walk from Chuo / Ōyu. 餃子＋タップ。公式：中央BT向かい。グループは予約。少人数はウォークイン可。050-1722-2550。https://winterlandlodge.com/contact/
06,Nozawa Eat Map,06 焼肉 萬里,〒389-2502 長野県下高井郡野沢温泉村大字豊郷9579,Walk from Chuo / Ōyu. 焼肉／ジンギスカン。村観光：17時（冬16時）〜22時半（最終入店21時半）。グリーンは水木定休、冬は不定休。0269-85-2290。TableCheck。炭乃家ではない。
07,Nozawa Eat Map,07 つくしんぼ,〒389-2502 長野県下高井郡野沢温泉村大字豊郷9347 常盤屋旅館B1,Walk from Chuo / Ōyu. 大湯隣の地下居酒屋。ポータル 18:00–23:00。0269-85-3565（宿の3128ではない）。スキー季は予約。宿ロビーのピンにしない。
08,Nozawa Eat Map,08 レストハウスやまびこ,〒389-2502 長野県下高井郡野沢温泉村大字豊郷8366（長坂ゴンドラやまびこ駅）,On-hill Nagasaka (not village dinner). ゲレンデ食堂。公式スキー 10:00–15:00 L.O. 14:30。0269-85-3166。Kitchen SEAVUSの2F。村の夕食ピンではない。
09,Nozawa Eat Map,09 ハウスサンアントン ジャム工房,〒389-2502 長野県下高井郡野沢温泉村大字豊郷9515,Walk from Chuo / Ōyu. 大湯通り。ジャム／ジェラート／カフェ。村観光：平日9:30–18:30・日9:00–18:30。水曜定休、冬期シーズン中無休。0269-85-2065。http://st-anton.jp/ 昼。夕食ピンではない。
10,Nozawa Eat Map,10 庄平そば,〒389-2502 長野県下高井郡野沢温泉村豊郷9525-1,Walk from Chuo / Ōyu. 公式 11:00–20:30（L.O. 20:00）売り切れ終了。0269-85-3287。http://shoheisoba.com/ ポータル：池本ビル2F、相撲鍋の上。大茂ん（02）ではない。
11,Nozawa Eat Map,11 新屋,〒389-2502 長野県下高井郡野沢温泉村大字豊郷8866,Walk · Grand Hotel / Shin-yu. うなぎ／やきとり丼。村観光：11:00–13:30 / 16:00–17:30。木曜定休。予約不可。0269-85-2044。グランドホテル／真湯側。大湯コアではない。民宿あたらしや（6950）ではない。
